Name,WAR_pred
Gerrit Cole,6.494490935996847
Justin Verlander,5.69049559719947
Cody Bellinger,5.682558408535964
Alex Bregman,5.626938495023375
Mookie Betts,5.174665022996265
Jacob deGrom,5.164542476516355
Mike Trout,5.14933364560559
Christian Yelich,5.12020088701777
Lance Lynn,4.9705979879754505
Marcus Semien,4.901382782843055
Ronald Acuna Jr.,4.882666927462171
Max Scherzer,4.655858378001568
Anthony Rendon,4.638952684167439
Ketel Marte,4.551612496371509
Shane Bieber,4.469101723701259
Xander Bogaerts,4.369939123449964
Stephen Strasburg,4.358431616767556
Matt Chapman,4.333286395900187
Charlie Morton,4.319247021890947
Lucas Giolito,4.31045327768512
Trevor Story,4.247754271546146
Walker Buehler,4.179384954835308
Jack Flaherty,4.159819680156097
George Springer,4.127130973794118
Rafael Devers,4.123743620526137
Juan Soto,4.091337850196808
Nolan Arenado,3.9624690027331138
Noah Syndergaard,3.917953613068684
J.T. Realmuto,3.8889373341831783
Francisco Lindor,3.8591645048552987
Ozzie Albies,3.7835505024344265
Mike Minor,3.6979544262037853
Bryce Harper,3.655609199962824
Chris Sale,3.5654322009879826
Zack Wheeler,3.485399343586595
Yoan Moncada,3.4606620230477225
German Marquez,3.4558482765047813
James Paxton,3.451913180268649
Luis Castillo,3.4151908029262876
Aaron Judge,3.4007681204582907
Mike Clevinger,3.3935671195713466
Yasmani Grandal,3.3552553852756937
Paul DeJong,3.3401782951848205
DJ LeMahieu,3.3361233808087887
Patrick Corbin,3.3351454920742176
Max Muncy,3.3245371862137123
Zack Greinke,3.324155823290912
Jose Ramirez,3.3064060028263254
Austin Meadows,3.2925355968097145
Jose Berrios,3.2898844986020324
Hyun-Jin Ryu,3.1989281590055576
Aaron Nola,3.193163413871482
Matthew Boyd,3.1930156033033485
Sonny Gray,3.1771648384441766
Max Kepler,3.1418648250048906
Trea Turner,3.1393033066556306
Yu Darvish,3.1379383478569167
Gleyber Torres,3.0955428214911707
Eduardo Rodriguez,3.011987610396476
Jake Odorizzi,2.988577218332292
Marcus Stroman,2.9815322226435095
Kris Bryant,2.974438083531929
Eugenio Suarez,2.9677208735859826
David Fletcher,2.9655819519591704
Carlos Santana,2.9528581991493104
Josh Donaldson,2.94394705677181
Clayton Kershaw,2.942055633124764
Javier Baez,2.92723611309402
Blake Snell,2.900374659046822
Jorge Polanco,2.8971028013273132
Matt Olson,2.8899110421703993
Freddie Freeman,2.881335685862571
Tyler Glasnow,2.875189083090797
Jon Gray,2.8726699538653158
Trevor Bauer,2.8274441446214578
Manny Machado,2.8195098879212828
Michael Conforto,2.8106748929037466
Jeff McNeil,2.80784816432592
Ramon Laureano,2.7741210234090907
Frankie Montas,2.763216073528176
Eduardo Escobar,2.757249095486035
Mitch Garver,2.7488969550934623
Robbie Ray,2.7208790535322835
Joey Gallo,2.719444917380928
Carlos Correa,2.715257198366377
Tommy Pham,2.7000538612714386
Jonathan Villar,2.6831368898805446
Michael Brantley,2.675325683618934
Madison Bumgarner,2.6568663091850113
Willy Adames,2.6494728472110918
Rhys Hoskins,2.640656554054912
Marcell Ozuna,2.6368559224173675
Scott Kingery,2.6290034623891305
Corey Seager,2.616497200845953
Domingo German,2.578933020542047
Mark Canha,2.5762820180337718
Jorge Soler,2.5756993131325174
Amed Rosario,2.554284275170853
Christian Vazquez,2.518684864227856
Brian Anderson,2.514903847491662
Reynaldo Lopez,2.5067153917861247
Anthony Rizzo,2.4968109571116384
Josh Hader,2.4677112145445856
Josh Bell,2.4614286369414806
Miguel Sano,2.4184759405707843
Trey Mancini,2.3936035248381913
Kolten Wong,2.3849664524644782
Miles Mikolas,2.356177537502936
Andrew Benintendi,2.3502648255370326
Tyler Mahle,2.3502080804917234
Adalberto Mondesi,2.338764421506355
Joc Pederson,2.336383583791196
Jose Altuve,2.3306060314300328
Hunter Dozier,2.316043788716258
Byron Buxton,2.31391696105627
Joe Musgrove,2.3119052591317546
Anthony DeSclafani,2.3090736476067697
Shohei Ohtani,2.298783529067191
Harrison Bader,2.2908735786101997
Chris Bassitt,2.2867434954657124
David Price,2.275423195864367
Dansby Swanson,2.270600131733043
J.D. Martinez,2.249139565428387
Kyle Hendricks,2.239890475335662
Paul Goldschmidt,2.2366956773259736
Dinelson Lamet,2.2344921300966147
Whit Merrifield,2.232422175428546
Nick Ahmed,2.2315291710282255
Justin Turner,2.2005145327629148
Elvis Andrus,2.198364659159216
Starling Marte,2.188120728230767
Kyle Schwarber,2.175572826929244
Steven Matz,2.1676836863411526
Brett Gardner,2.156585899894786
Homer Bailey,2.154137887546848
Jose Quintana,2.1394660004802546
Giovanny Urshela,2.1361745195898454
Masahiro Tanaka,2.1237696878136583
Kyle Seager,2.122818739858488
Manuel Margot,2.102114675398356
Nicholas Castellanos,2.0983883351676225
Kyle Gibson,2.0723271617145738
Mike Moustakas,2.066811850351443
Tim Anderson,2.0496499762699285
Michael Pineda,2.0481079939016453
Yandy Diaz,2.0475945728375717
Victor Reyes,2.0454875839845448
Felipe Vazquez,2.039158706693301
Nelson Cruz,2.0370613042023162
Roberto Perez,2.02855369042368
Jean Segura,2.0077271204840894
Kenta Maeda,1.9783253410548096
Andrelton Simmons,1.9711799245002402
Tommy La Stella,1.9549015714550169
Dylan Bundy,1.9534096852406226
Gary Sanchez,1.9435221873891209
Lourdes Gurriel Jr.,1.9422039208468795
Luke Weaver,1.936866776808243
Marco Gonzales,1.9293015726030769
Willson Contreras,1.8937493339123193
Hunter Renfroe,1.8839600399365002
Niko Goodrum,1.8767620575657598
Zach Eflin,1.8761916989393672
Jordan Lyles,1.866267682980842
Jason Heyward,1.8520578978739488
Jon Lester,1.849972990816897
Chris Archer,1.8418361238626169
Andrew Heaney,1.839869923506189
Brandon Nimmo,1.8204699358817917
Adam Frazier,1.8181481982892653
Cole Hamels,1.8156760634624889
Liam Hendriks,1.8127484314834938
Martin Perez,1.805251273599369
Eric Lauer,1.784908737800094
Jurickson Profar,1.782685763097129
Pablo Lopez,1.782386876064938
Kole Calhoun,1.7783643154387294
Miguel Rojas,1.772677420817096
Daniel Norris,1.7664784650950343
Danny Santana,1.7649734116542188
Teoscar Hernandez,1.7637677450090012
Evan Longoria,1.7477508805921431
Yuli Gurriel,1.7459791644099876
Caleb Smith,1.7344259554069748
Kevin Kiermaier,1.7285587935152922
